;imdb;metascore;movie;votes;year
2213;6.7;40;Gangster Squad;185506;-2013
1370;7.9;82;Let the Right One In;184877;-2008
700;8.0;90;Before Sunset;184708;-2004
2214;6.3;44;Oz the Great and Powerful;184381;-2013
1529;7.0;50;Ice Age: Dawn of the Dinosaurs;184228;-2009
1882;6.0;50;Cowboys & Aliens;184228;-2011
1701;6.4;51;Predators;183968;-2010
2670;7.1;68;Star Trek: Beyond;183642;-2016
1530;5.8;32;G.I. Joe: The Rise of Cobra;183485;-2009
1883;6.2;50;No Strings Attached;183305;(I) (2011)
701;7.7;67;Finding Neverland;183053;-2004
2051;7.1;47;Hotel Transylvania;182841;-2012
2374;5.8;31;Teenage Mutant Ninja Turtles;182658;-2014
2052;6.7;49;American Reunion;181987;-2012
2818;7.7;70;It;181858;(I) (2017)
522;6.2;52;Anger Management;181388;-2003
1205;7.1;39;P.S. I Love You;181253;-2007
702;6.8;47;The Girl Next Door;181132;-2004
2819;7.3;65;Beauty and the Beast;180570;-2017
351;6.1;56;Die Another Day;180465;-2002
2521;6.3;42;Insurgent;180332;-2015
857;7.7;72;Match Point;180212;-2005
2053;6.8;53;Sinister;179842;(I) (2012)
523;7.4;81;Master and Commander: The Far Side of the World;179212;-2003
2522;7.4;57;La rage au ventre;179119;-2015
703;7.3;65;Closer;178842;(I) (2004)
2054;6.8;52;Sécurité rapprochée;178836;-2012
1884;6.9;63;Rio;178370;-2011
21;7.6;86;Traffic;178325;-2000
2215;6.4;52;White House Down;178230;-2013
1371;6.5;54;Get Smart;177812;-2008
2671;7.4;77;Finding Dory;177531;-2016
1372;6.4;43;Death Race;177485;-2008
1531;6.5;28;The Ugly Truth;177343;-2009
2216;5.3;28;A Good Day to Die Hard;176871;-2013
2672;6.5;46;Insaisissables 2;176607;-2016
1532;7.0;70;I Love You, Man;176049;-2009
352;7.4;35;A Walk to Remember;176001;-2002
1533;7.9;63;Mr. Nobody;175788;-2009
1033;7.2;63;Rocky Balboa;175770;-2006
1373;5.0;34;The Happening;175049;-2008
2820;6.7;62;Kong: Skull Island;174813;-2017
1702;6.6;60;Machete;174233;-2010
2523;6.6;56;Focus;173986;(II) (2015)
2217;6.4;45;Pain & Gain;173785;-2013
524;6.4;45;How to Lose a Guy in 10 Days;173774;-2003
704;6.8;62;A Series of Unfortunate Events;173534;-2004
353;6.2;62;Austin Powers in Goldmember;173191;-2002
22;7.8;48;Remember the Titans;172952;-2000
189;6.6;48;Rush Hour 2;172860;-2001
354;6.7;52;Blade II;172787;-2002
525;6.3;43;American Wedding;172590;-2003
2821;6.5;65;Alien: Covenant;172560;-2017
705;6.6;45;EuroTrip;172557;-2004
1885;8.4;95;A Separation;172297;-2011
2218;6.1;21;Hansel & Gretel: Witch Hunters;172166;-2013
706;6.9;64;Napoleon Dynamite;172150;-2004
2524;6.4;56;Minions;171597;-2015
1034;6.7;36;Underworld: Evolution;170834;-2006
1886;5.7;47;Bad Teacher;170761;-2011
2219;4.9;33;After Earth;170600;-2013
23;6.4;47;What Women Want;170252;-2000
2220;6.3;42;The Internship;170152;-2013
2221;6.7;55;2 Guns;170012;-2013
858;7.2;71;The Descent;169931;-2005
2525;6.1;43;San Andreas;169260;-2015
2526;6.3;43;Maze Runner: The Scorch Trials;169199;-2015
190;5.8;33;Lara Croft: Tomb Raider;169177;-2001
2527;7.1;51;The Intern;169029;(I) (2015)
2673;7.5;99;Moonlight;168982;(I) (2016)
859;6.3;56;Le transporteur II;168931;-2005
1534;7.0;66;Cloudy with a Chance of Meatballs;168770;-2009
2055;6.7;48;Project X;167896;-2012
1535;6.6;83;Drag Me to Hell;167793;-2009
1887;6.8;65;Hanna;167444;-2011
1374;5.5;54;You Don't Mess with the Zohan;167238;-2008
2674;7.9;96;Manchester by the Sea;167063;-2016
2675;6.6;58;Jason Bourne;166922;-2016
860;6.8;63;The Hitchhiker's Guide to the Galaxy;166360;-2005
2676;7.6;81;Moana;166133;(I) (2016)
707;6.2;35;Resident Evil: Apocalypse;165993;-2004
2222;7.3;78;Blue Jasmine;165827;-2013
2223;7.2;55;The Croods;164440;-2013
1375;6.6;62;The Chronicles of Narnia: Prince Caspian;164221;-2008
708;7.1;64;Harold & Kumar Go to White Castle;164111;-2004
1206;6.3;41;Resident Evil: Extinction;163756;-2007
1376;6.7;61;Madagascar: Escape 2 Africa;163741;-2008
1377;7.3;69;Revolutionary Road;163715;-2008
526;6.9;64;Elf;163690;-2003
1536;7.7;80;Coraline;163386;-2009
2677;7.5;74;Sully;163161;-2016
2528;7.1;64;Everest;163139;-2015
1207;7.6;77;Grindhouse;163104;-2007
2056;5.8;37;La colère des Titans;162734;-2012
191;6.5;32;Swordfish;162465;-2001
2057;7.6;73;The Impossible;162216;-2012
1888;7.6;73;The Raid: Redemption;162107;-2011
1889;7.1;85;La taupe;161840;-2011
1703;6.8;69;Unstoppable;161689;-2010
1537;6.4;55;The Taking of Pelham 123;161650;-2009
1890;5.8;37;Battle Los Angeles;161216;-2011
2058;6.8;43;The Vow;161136;-2012
2224;5.7;41;American Nightmare;160920;(I) (2013)
2678;7.5;67;Nocturnal Animals;160094;-2016
2679;5.3;60;Ghostbusters;159976;-2016
1378;6.9;67;Bolt;159966;-2008
2059;6.6;49;Ice Age: Continental Drift;159913;-2012
1891;7.2;72;Shame;159857;-2011
24;7.3;64;Chocolat;159764;-2000
192;7.4;49;K-PAX;159737;-2001
1379;7.3;69;The Bank Job;159635;-2008
1538;7.0;42;Orphan;159601;-2009
709;7.5;94;Sideways;159475;-2004
1380;6.6;43;Eagle Eye;159188;-2008
710;6.6;46;Secret Window;159085;-2004
1704;6.3;46;Knight and Day;158770;-2010
711;5.6;29;AVP: Alien vs. Predator;158684;-2004
2822;6.7;39;Pirates of the Caribbean: Dead Men Tell No Tales;158664;-2017
2225;7.1;75;Side Effects;158621;(I) (2013)
1381;6.4;51;Mamma Mia!;158528;-2008
1208;6.1;51;The Golden Compass;158280;-2007
2060;6.3;31;This Means War;158246;-2012
355;7.9;85;Hero;158220;-2002
2375;7.3;68;Chef;158188;-2014
2680;6.0;49;La promesse;157990;(II) (2016)
861;8.0;69;Cinderella Man;157881;-2005
1539;6.3;45;Surrogates;157859;-2009
1382;6.6;56;Zack and Miri Make a Porno;157577;-2008
25;6.1;46;How the Grinch Stole Christmas;157202;-2000
356;5.8;48;xXx;157044;-2002
357;7.7;67;25th Hour;156830;-2002
1705;7.4;52;The Next Three Days;156440;-2010
1540;6.4;48;17 Again;156320;-2009
1706;7.4;81;Blue Valentine;156280;-2010
1541;7.8;83;Fantastic Mr. Fox;156099;-2009
1035;7.7;74;The Last King of Scotland;156033;-2006
2681;7.4;65;The Conjuring 2;155950;-2016
1707;6.7;55;Love & Other Drugs;155846;-2010
2226;5.8;41;G.I. Joe: Retaliation;155534;-2013
2061;6.4;62;The Woman in Black;155161;-2012
1036;6.2;48;Saw III;154868;-2006
2529;5.3;40;Jupiter Ascending;154863;-2015
358;7.7;83;Adaptation.;154734;-2002
1708;6.4;65;Get Him to the Greek;154582;-2010
1209;7.2;68;Fracture;154525;-2007
1210;7.1;75;Enchanted;154142;-2007
26;5.5;52;Charlie's Angels;153813;-2000
2376;6.3;40;Dracula Untold;153507;-2014
1709;5.9;47;Percy Jackson & the Olympians: The Lightning Thief;153339;-2010
862;7.0;58;Jarhead;153297;-2005
712;7.3;62;The Life Aquatic with Steve Zissou;152777;-2004
2823;8.4;81;Blade Runner 2049;152657;-2017
27;6.2;43;Miss Congeniality;152365;-2000
1710;6.3;58;Shrek Forever After;151947;-2010
28;7.0;88;Chicken Run;151854;-2000
359;7.1;75;About a Boy;151788;-2002
1542;8.2;80;The Secret in Their Eyes;151647;-2009
2377;6.9;83;It Follows;151620;-2014
2378;7.4;48;The Judge;151552;-2014
1383;7.8;55;The Boy in the Striped Pajamas;151340;-2008
29;7.5;79;High Fidelity;151136;-2000
1211;7.2;67;The Darjeeling Limited;151094;-2007
2379;6.0;26;Taken 3;150594;-2014
1384;6.1;36;What Happens in Vegas;149803;-2008
527;5.8;30;The League of Extraordinary Gentlemen;149520;-2003
863;5.9;55;Hostel;149412;-2005
2530;7.9;72;Straight Outta Compton;149078;-2015
2380;6.1;44;A Million Ways to Die in the West;149056;-2014
2824;8.2;73;Thor: Ragnarok;148971;-2017
30;7.7;81;Battle Royale;148961;-2000
2531;6.5;60;Tomorrowland;148869;-2015
1212;6.2;59;Beowulf;148832;-2007
2227;6.2;57;Mama;147942;(I) (2013)
1213;6.6;53;30 Days of Night;147716;-2007
1214;7.5;68;The Assassination of Jesse James by the Coward Robert Ford;147667;-2007
1385;5.5;40;The Day the Earth Stood Still;147518;-2008
1215;6.3;35;Hitman;147472;(I) (2007)
1892;6.8;85;The Tree of Life;147265;-2011
2062;7.4;76;Mud;147074;-2012
193;6.9;56;A Knight's Tale;147070;-2001
713;5.6;39;Alexander;146875;-2004
194;6.2;59;Legally Blonde;146670;-2001
31;7.3;73;Erin Brockovich;146630;-2000
2381;6.5;39;Need for Speed;146602;-2014
1711;6.4;63;Hot Tub Time Machine;146373;-2010
1386;7.6;84;Milk;146363;(I) (2008)
1893;6.0;46;Immortals;145759;-2011
1037;6.5;77;Happy Feet;145416;-2006
2682;7.1;71;Don't Breathe;145370;-2016
2532;6.3;48;Ted 2;145296;-2015
1543;5.9;42;Night at the Museum: Battle of the Smithsonian;145042;-2009
2382;6.8;86;Mister Babadook;144990;-2014
1894;6.3;39;The Change-Up;144950;-2011
714;6.3;46;King Arthur;144886;-2004
715;5.9;38;Blade: Trinity;144658;-2004
1712;5.9;37;Resident Evil: Afterlife;144654;-2010
716;7.2;64;Team America: World Police;143684;-2004
2228;6.3;61;Anchorman 2: The Legend Continues;143556;-2013
2229;6.6;60;The Heat;143536;(I) (2013)
32;7.3;70;The Emperor's New Groove;143432;-2000
2825;6.8;56;The Fate of the Furious;143428;-2017
717;6.0;48;Shark Tale;143306;-2004
718;7.4;73;Layer Cake;143210;-2004
2383;6.1;35;The Expendables 3;142920;-2014
2683;6.9;54;The Magnificent Seven;142780;-2016
1895;5.8;39;The Green Hornet;142736;-2011
2533;6.9;68;Black Mass;142329;-2015
1713;7.6;65;Tucker & Dale fightent le mal;142182;-2010
1216;7.3;82;Michael Clayton;141832;-2007
1038;6.6;66;Talladega Nights: The Ballad of Ricky Bobby;141452;-2006
1896;7.1;80;Melancholia;141443;-2011
2384;6.0;52;Exodus: Gods and Kings;141299;-2014
33;6.5;55;Road Trip;141199;-2000
1714;7.2;77;The Ghost Writer;141013;-2010
2684;8.1;69;Lion;140967;-2016
1544;6.4;47;Ce que pensent les hommes;140844;-2009
864;6.4;48;The Longest Yard;140826;-2005
1039;6.4;52;The Hills Have Eyes;140250;-2006
2685;5.8;36;Assassin's Creed;140200;-2016
34;6.4;59;The Perfect Storm;140083;-2000
865;7.1;58;Hard Candy;139803;-2005
1040;7.9;89;Letters from Iwo Jima;139704;-2006
1545;6.8;76;Adventureland;139698;-2009
2686;5.3;32;Independence Day: Resurgence;139267;-2016
1217;6.3;64;Blades of Glory;138334;-2007
528;6.4;56;Once Upon a Time in Mexico;138024;-2003
2687;7.6;88;Hell or High Water;137959;(II) (2016)
2230;6.7;47;RED 2;137633;-2013
1387;6.1;51;Le transporteur 3;137419;-2008
1041;6.7;67;Over the Hedge;137349;-2006
2231;6.5;57;Evil Dead;137167;-2013
2688;6.6;61;Comme des bêtes;136864;-2016
2534;7.1;82;The Lobster;136361;-2015
2689;6.2;66;Sausage Party;136300;-2016
1715;6.3;56;Date Night;136284;-2010
1388;7.2;59;Definitely, Maybe;136000;-2008
2063;5.9;42;Abraham Lincoln: Vampire Hunter;135940;-2012
719;6.6;61;The Polar Express;135770;-2004
2232;6.4;49;Riddick;135577;-2013
1218;6.7;49;Shoot 'Em Up;135380;-2007
866;6.3;53;Flightplan;135108;-2005
195;6.9;51;Jay and Silent Bob Strike Back;134862;-2001
1389;6.1;47;27 Dresses;134465;-2008
1716;6.1;46;The Sorcerer's Apprentice;134393;-2010
2064;7.3;57;Rise of the Guardians;134217;-2012
1546;6.7;42;The Lovely Bones;134097;-2009
720;6.1;57;13 Going on 30;133870;-2004
2826;6.6;54;Life;133829;(I) (2017)
721;6.5;33;The Punisher;133606;-2004
1547;6.6;44;Underworld: Rise of the Lycans;133542;-2009
1390;6.6;40;Vantage Point;133424;-2008
1548;7.4;74;Invictus;133195;-2009
1717;6.2;61;The Karate Kid;133089;-2010
360;7.2;73;Lilo & Stitch;132831;-2002
196;6.8;54;From Hell;132695;-2001
1219;6.2;42;Next;132651;-2007
1897;6.6;49;The Mechanic;132564;-2011
1549;6.8;65;The Imaginarium of Doctor Parnassus;132367;-2009
2690;7.4;51;Me Before You;132339;-2016
2065;6.9;60;Madagascar 3: Europe's Most Wanted;131616;-2012
2066;6.6;40;Man on a Ledge;131607;-2012
2827;6.4;52;Ghost in the Shell;131253;-2017
1220;6.2;44;Rush Hour 3;131171;-2007
2691;6.3;44;The Legend of Tarzan;131155;-2016
2385;6.3;40;Horrible Bosses 2;130863;-2014
2067;6.4;39;Underworld Awakening;130702;-2012
1221;7.3;45;Mr. Brooks;130528;-2007
529;6.2;38;Final Destination 2;130392;-2003
1550;6.8;28;Pandorum;129851;-2009
1391;5.2;31;The Mummy: Tomb of the Dragon Emperor;129565;-2008
197;7.6;28;I Am Sam;129421;-2001
361;8.0;72;Bowling for Columbine;129237;-2002
1222;7.5;74;The Orphanage;129204;-2007
1718;7.0;65;Buried;129197;-2010
2233;7.5;65;Saving Mr. Banks;129114;-2013
198;5.3;29;Scary Movie 2;129056;-2001
2692;7.8;74;Hidden Figures;128443;-2016
2828;7.6;82;War for the Planet of the Apes;128372;-2017
1719;4.2;20;The Last Airbender;128275;-2010
199;7.1;63;Spy game - Jeu d'espions;128077;-2001
2386;6.5;46;Sin City: A Dame to Kill For;127429;-2014
2693;7.1;57;War Dogs;127266;-2016
2535;4.3;27;Fantastic Four;127187;-2015
867;7.5;55;Green Street Hooligans;126831;-2005
1223;6.0;37;I Now Pronounce You Chuck & Larry;126741;-2007
2234;6.3;28;47 Ronin;126728;-2013
1042;6.4;45;She's the Man;126633;-2006
1392;7.1;53;Marley & Me;126582;-2008
1551;5.8;54;Brüno;126476;-2009
1898;7.2;72;War Horse;126368;-2011
1043;6.7;45;Smokin' Aces;126343;-2006
2694;7.9;72;Captain Fantastic;126251;-2016
2387;6.0;47;Hercules;126209;(I) (2014)
722;6.1;55;Starsky & Hutch;126151;-2004
530;6.0;45;S.W.A.T.;125894;-2003
868;7.4;54;Memoirs of a Geisha;125431;-2005
531;7.2;73;Cold Mountain;125041;-2003
2235;6.6;40;Insidious: Chapter 2;124955;-2013
1552;6.5;56;Monsters vs. Aliens;124936;-2009
2236;7.4;68;The Way Way Back;124914;-2013
1393;7.2;58;Defiance;124077;(I) (2008)
723;5.9;49;The Grudge;124069;-2004
1553;7.1;47;The Time Traveler's Wife;123839;-2009
1224;7.4;70;Lars and the Real Girl;123565;-2007
2536;7.2;82;Steve Jobs;123545;-2015
1899;6.7;65;Puss in Boots;123491;-2011
2537;7.0;67;Cinderella;123112;(I) (2015)
1554;6.2;41;Crank: High Voltage;122591;-2009
35;5.5;30;Dude, Where's My Car?;122552;-2000
1225;5.4;37;Evan Almighty;122203;-2007
532;6.1;51;Johnny English;122167;-2003
1720;7.2;40;Remember Me;122164;-2010
533;7.7;68;Good Bye Lenin!;122063;-2003
1044;6.8;52;The Lake House;121957;-2006
1226;5.9;36;Saw IV;121491;-2007
2388;8.1;77;Les nouveaux sauvages;121414;-2014
2695;6.5;48;The Girl on the Train;121307;-2016
2389;7.1;69;The Drop;121070;-2014
2237;6.4;54;The Last Stand;120990;-2013
2538;7.2;51;The Age of Adaline;120990;-2015
2238;6.9;61;Enemy;120978;-2013
1227;7.2;74;Bridge to Terabithia;120969;-2007
2239;7.1;82;The Spectacular Now;120839;-2013
1045;5.6;58;Des serpents dans l'avion;120808;-2006
1721;7.2;69;Never Let Me Go;120329;-2010
2539;7.1;66;The Danish Girl;120180;-2015
2696;6.7;57;Miss Peregrine's Home for Peculiar Children;120123;-2016
362;7.3;78;Punch-Drunk Love;120018;-2002
1046;7.4;65;Clerks II;119843;-2006
534;5.5;49;Scary Movie 3;119810;-2003
1394;6.6;57;Harold & Kumar Escape from Guantanamo Bay;119661;-2008
1900;7.1;58;We Bought a Zoo;119535;-2011
535;6.6;56;The Recruit;119419;-2003
1555;7.1;64;State of Play;119408;-2009
1047;6.6;66;Idiocracy;119248;-2006
1722;7.2;90;Winter's Bone;119223;-2010
724;7.7;73;Ray;119180;(I) (2004)
1556;5.8;27;Gamer;119077;-2009
2390;7.2;59;Unbroken;118975;(I) (2014)
536;7.1;70;Bad Santa;118917;-2003
363;5.8;24;Mr. Deeds;118910;-2002
1901;6.2;57;Cars 2;118733;-2011
2068;6.2;64;Killing Them Softly;118448;-2012
2240;5.4;19;Grown Ups 2;118376;-2013
869;7.5;82;The Constant Gardener;118369;-2005
1557;7.1;60;9;118189;(I) (2009)
870;6.1;47;Fun with Dick and Jane;118052;-2005
2540;7.0;55;Legend;117952;(I) (2015)
871;6.9;49;Four Brothers;117881;-2005
725;7.5;67;Fahrenheit 9/11;117875;-2004
2391;7.0;81;Foxcatcher;117855;-2014
2069;5.4;39;Resident Evil: Retribution;117715;-2012
1558;7.3;85;An Education;117705;-2009
2241;7.4;62;Begin Again;117475;(II) (2013)
1902;7.0;48;One Day;117453;-2011
1723;6.3;53;The Chronicles of Narnia: The Voyage of the Dawn Treader;117328;-2010
1048;6.6;63;16 Blocks;117278;-2006
2070;5.3;63;Spring Breakers;117155;-2012
2071;7.1;86;The Master;117153;-2012
1903;6.2;59;Tower Heist;117062;-2011
1724;6.3;43;Dear John;116943;(I) (2010)
2242;5.9;53;Carrie;116887;-2013
1725;7.1;63;It's Kind of a Funny Story;116745;-2010
1726;6.8;63;Green Zone;116738;-2010
537;8.0;60;Dogville;116585;-2003
2072;6.1;72;Magic Mike;116526;-2012
1228;6.1;54;Bee Movie;116384;-2007
1727;7.1;86;The Kids Are All Right;116032;-2010
538;6.2;38;The Texas Chainsaw Massacre;115825;-2003
2392;6.5;30;Let's Be Cops;115558;-2014
872;7.0;76;Syriana;115401;-2005
1559;6.2;54;The Men Who Stare at Goats;115321;-2009
200;5.9;48;Shallow Hal;115315;-2001
2541;6.8;83;The Witch;115212;-2015
539;7.3;74;Monster;115198;-2003
2243;5.9;33;The Mortal Instruments: City of Bones;115102;-2013
873;5.5;36;Æon Flux;114961;-2005
2244;6.6;48;Last Vegas;114871;-2013
2697;6.2;42;Inferno;114849;(I) (2016)
2245;6.3;51;Jack the Giant Slayer;114774;-2013
1395;5.1;34;10,000 BC;114594;-2008
2393;6.0;39;The Other Woman;114116;-2014
1396;6.8;71;Horton Hears a Who!;113949;-2008
364;6.2;39;Reign of Fire;113860;-2002
2542;6.4;63;Pitch Perfect 2;113673;-2015
2394;6.0;69;Into the Woods;113405;-2014
1904;7.6;70;La piel que habito;113352;-2011
1728;6.2;44;Devil;113046;-2010
1049;5.1;38;Eragon;112838;-2006
1397;5.4;31;Max Payne;112835;-2008
2073;6.1;50;The Campaign;112701;-2012
874;6.3;64;Robots;112608;-2005
365;7.2;65;We Were Soldiers;112530;-2002
366;7.2;85;About Schmidt;112518;-2002
540;7.3;61;Matchstick Men;112510;-2003
367;7.7;61;The Count of Monte Cristo;112330;-2002
726;5.9;44;Along Came Polly;112273;-2004
1905;6.5;44;Killer Elite;112009;-2011
368;5.5;45;The Scorpion King;111762;-2002
1050;5.8;41;Destination finale 3;111568;-2006
2543;6.2;75;Crazy Amy;111437;-2015
2829;5.5;34;La momie;111260;-2017
1051;6.5;47;Accepted;111258;-2006
2395;6.5;50;American Nightmare 2: Anarchy;111238;-2014
1906;6.2;52;Scream 4;111236;-2011
1560;6.5;57;Daybreakers;111146;-2009
541;5.5;43;Lara Croft Tomb Raider: The Cradle of Life;111038;-2003
1561;7.0;79;A Serious Man;110987;-2009
2396;6.1;52;The Monuments Men;110802;-2014
2074;6.2;59;This Is 40;110437;-2012
2246;7.5;93;Inside Llewyn Davis;110268;-2013
2075;5.7;36;The Watch;110170;(I) (2012)
2247;7.6;53;The Book Thief;109995;-2013
1907;7.5;68;We Need to Talk About Kevin;109945;-2011
2076;6.5;59;Savages;109902;-2012
2248;7.9;94;Before Midnight;109702;-2013
2830;7.3;46;Justice League;109656;-2017
1908;6.6;59;J. Edgar;109607;-2011
2698;6.3;52;Central Intelligence;109178;-2016
369;7.6;81;The Hours;109120;-2002
2699;7.2;68;Deepwater;109012;-2016
1052;5.8;45;The Break-Up;108991;-2006
875;7.4;88;Capote;108929;-2005
2249;7.8;88;Blue Is the Warmest Color;108815;-2013
1909;5.9;45;Hall Pass;108697;-2011
727;5.5;41;White Chicks;108599;-2004
370;5.9;42;The Time Machine;108477;-2002
371;6.6;62;Mariage à la grecque;108468;-2002
36;5.7;24;Hollow Man;108401;-2000
1398;6.6;53;Australia;108273;-2008
1729;6.4;46;She's Out of My League;108143;-2010
2700;5.9;28;London Has Fallen;108125;-2016
2397;5.6;36;Dumb and Dumber To;108087;-2014
728;7.8;78;Kung Fu Hustle;107691;-2004
201;6.8;71;The Score;107626;-2001
2544;5.6;27;Pixels;107385;-2015
202;6.1;40;Evolution;107208;-2001
372;7.1;30;John Q;107176;-2002
2077;7.0;72;Safety Not Guaranteed;107079;-2012
1053;7.1;79;Flags of our Fathers;106814;-2006
1229;7.1;56;The Kingdom;106776;-2007
2078;6.5;51;Contraband;106645;-2012
1399;7.5;68;Doubt;106596;(I) (2008)
542;4.8;48;Charlie's Angels: Full Throttle;106551;-2003
876;7.5;87;The Curse of the Were-Rabbit;106436;-2005
37;5.5;56;Scream 3;106173;-2000
2398;6.2;57;Jack Ryan: Shadow Recruit;106103;-2014
2250;7.1;81;Locke;105988;-2013
2251;5.7;35;Identity Thief;105850;-2013
543;6.2;70;Freaky Friday;105827;-2003
38;5.9;49;The 6th Day;105315;-2000
1230;6.7;81;Hairspray;105276;-2007
2545;7.1;77;The Gift;105249;(VI) (2015)
39;7.7;74;Billy Elliot;105209;-2000
203;6.3;52;The Princess Diaries;104792;-2001
1231;5.9;27;Wild Hogs;104686;-2007
1562;6.3;60;Funny People;104660;-2009
1730;6.6;39;Life as We Know It;104630;-2010
1400;5.6;53;Sex and the City;104622;-2008
1731;5.5;22;The Bounty Hunter;104571;(I) (2010)
1054;7.7;86;This Is England;104559;-2006
2546;6.5;66;Crimson Peak;104420;-2015
40;6.6;77;Shanghai Noon;104342;-2000
877;5.9;51;The Brothers Grimm;104296;-2005
878;6.7;46;The Exorcism of Emily Rose;104246;-2005
1910;7.2;61;Carnage;104243;-2011
41;6.6;51;What Lies Beneath;104136;-2000
2547;6.6;56;Joy;103995;(I) (2015)
2399;7.5;72;Still Alice;103380;-2014
1911;6.2;49;The Thing;103100;(I) (2011)
729;7.3;40;The Phantom of the Opera;103025;-2004
373;6.8;64;One Hour Photo;102826;-2002
1912;5.7;41;Priest;102734;-2011
2400;5.4;37;Annabelle;102675;(I) (2014)
1732;6.5;42;From Paris with Love;102673;-2010
42;7.2;40;Pay It Forward;102234;-2000
204;7.4;88;Ghost World;102142;-2001
879;7.3;57;Coach Carter;101512;-2005
374;8.1;75;Infernal Affairs;101298;-2002
880;5.3;41;La maison de cire;101138;-2005
1733;5.7;34;Valentine's Day;101021;(I) (2010)
1232;4.7;29;Aliens vs. Predator: Requiem;100793;-2007
2079;6.5;66;Premium Rush;100779;-2012
2548;7.5;87;Brooklyn;100678;-2015
1913;6.9;52;Water for Elephants;100662;-2011
1734;8.2;80;Incendies;100508;-2010
1914;7.1;76;Margin Call;100280;-2011
1055;5.1;40;Scary Movie 4;100214;-2006
1563;6.4;58;The Invention of Lying;100184;-2009
2252;5.6;25;R.I.P.D.;100126;-2013
544;6.6;48;Tears of the Sun;99929;-2003
1401;6.2;47;The Strangers;99928;-2008
2401;7.1;76;Wild;99911;(I) (2014)
1735;7.2;79;Let Me In;99876;(I) (2010)
2549;6.0;34;Get Hard;99868;-2015
2253;6.9;61;Trance;99811;(I) (2013)
2254;6.3;78;Under the Skin;99713;(I) (2013)
2701;7.1;60;Allied;99608;-2016
881;6.5;71;Red Eye;99576;-2005
1233;7.9;88;Once;99493;-2007
2255;5.9;35;The Host;99330;-2013
1564;5.1;47;Jennifer's Body;98983;-2009
1402;7.1;71;Bronson;98931;-2008
1736;6.5;55;The Crazies;98913;-2010
1403;6.8;55;Street Kings;98859;-2008
2550;7.3;70;The Walk;98729;(II) (2015)
1565;7.1;73;The Princess and the Frog;98721;-2009
882;7.1;44;The Jacket;98679;-2005
2551;7.8;74;Me and Earl and the Dying Girl;98667;-2015
2256;7.7;86;Nebraska;98580;-2013
2257;6.2;42;Parker;98485;-2013
1056;6.5;48;Step Up;98349;-2006
205;7.7;88;Y Tu Mamá También;98278;-2001
206;6.4;52;Rat Race;98117;-2001
883;6.6;44;Hostage;97980;-2005
1057;6.0;65;Miami Vice;97926;-2006
1404;5.8;20;Saw V;97781;-2008
730;7.6;89;House of Flying Daggers;97414;-2004
1566;6.6;49;Antichrist;97299;-2009
2402;6.5;47;The Giver;97244;-2014
545;6.7;66;Something's Gotta Give;97205;-2003
2403;6.5;31;Blended;97098;-2014
2702;7.1;66;Kung Fu Panda 3;97085;-2016
1234;7.4;56;Across the Universe;97002;-2007
1915;5.4;29;Red Riding Hood;96997;-2011
1235;6.3;56;Mr. Bean's Holiday;96955;-2007
2258;6.5;61;Oculus;96929;(I) (2013)
1058;7.6;75;Little Children;96704;-2006
2259;6.7;51;The Call;96699;(II) (2013)
2404;6.8;46;If I Stay;96687;-2014
2405;6.5;57;A Walk Among the Tombstones;96484;-2014
1916;6.3;46;Johnny English Reborn;96420;-2011
1567;7.4;58;Pirate Radio;96343;-2009
2552;6.9;47;In the Heart of the Sea;96287;-2015
546;5.8;37;Freddy vs. Jason;96256;-2003
2703;6.3;72;Hail, Caesar!;96250;-2016
43;6.7;47;The Whole Nine Yards;96219;-2000
207;6.1;49;Jeepers creepers - Le chant du diable;96126;-2001
2260;6.3;42;The Family;96102;(I) (2013)
375;7.4;51;Irreversible;96068;-2002
2406;7.6;76;Vampires en toute intimité;96043;-2014
1236;7.4;67;Death at a Funeral;95825;-2007
1568;6.1;36;Push;95806;-2009
44;5.6;27;Coyote Ugly;95799;-2000
2704;7.3;58;Snowden;95764;-2016
1569;7.1;58;Brothers;95742;(I) (2009)
2080;6.7;59;Seeking a Friend for the End of the World;95676;-2012
1405;7.7;86;Ponyo;95648;-2008
1059;7.9;64;The Fall;95640;-2006
2261;7.2;66;Lee Daniels' The Butler;95555;(I) (2013)
547;7.6;31;The Life of David Gale;95530;-2003
45;7.2;56;Men of Honor;95462;-2000
1917;4.3;34;Ghost Rider: Spirit of Vengeance;95433;-2011
1737;7.3;66;The Way Back;95082;(I) (2010)
1060;7.1;73;A Scanner Darkly;95078;-2006
2705;6.1;47;Jack Reacher: Never Go Back;95065;-2016
548;5.8;38;Gothika;95018;-2003
2262;7.0;64;Nymphomaniac - Volume 1;95017;-2013
376;6.7;66;Bend It Like Beckham;94899;-2002
1406;5.8;57;Journey to the Center of the Earth;94816;-2008
2407;8.0;71;The Raid 2;94806;-2014
2263;5.9;39;Percy Jackson: Sea of Monsters;94607;-2013
1237;7.1;69;Charlie Wilson's War;94599;-2007
1238;6.1;47;Halloween;94558;-2007
549;6.1;32;Wrong Turn;94533;(I) (2003)
1239;8.0;92;The Diving Bell and the Butterfly;94507;-2007
884;6.5;47;The Skeleton Key;94216;-2005
550;6.3;43;Paycheck;94133;-2003
1918;5.8;35;Les Trois Mousquetaires;94128;-2011
