;imdb;metascore;movie;votes;year
502;7.5;68;X-Men 2;444595;-2003
1843;7.6;68;Rise of the Planet of the Apes;444475;-2011
1176;7.5;81;Juno;441991;-2007
169;7.8;74;Ocean's Eleven;437664;-2001
333;7.4;63;Harry Potter and the Chamber of Secrets;437279;-2002
667;7.9;53;The Notebook;434637;-2004
334;7.7;80;Minority Report;434088;-2002
832;7.7;81;Harry Potter and the Goblet of Fire;433981;-2005
5;7.8;73;Cast Away;433844;-2000
1005;8.0;64;Blood Diamond;433309;-2006
668;8.0;76;Shaun of the Dead;432274;-2004
669;7.8;82;Harry Potter and the Prisoner of Azkaban;432210;-2004
670;7.1;59;I, Robot;427273;-2004
2183;7.8;72;Star Trek: Into Darkness;426309;-2013
1675;7.7;72;Despicable Me;425846;-2010
1508;7.7;73;Zombieland;422787;-2009
1509;7.6;56;Watchmen;422230;-2009
2184;7.0;54;Oblivion;422135;(I) (2013)
1177;6.2;59;Spider-Man 3;420141;-2007
1844;7.5;74;Source Code;418736;-2011
1006;6.7;58;X-Men: L'affrontement final;418490;-2006
671;7.2;56;Troy;417469;-2004
1178;8.1;93;There Will Be Blood;416940;-2007
1845;6.6;45;Pirates of the Caribbean: On Stranger Tides;412975;-2011
1510;7.7;76;500 Days of Summer;411098;-2009
2185;7.0;64;Pacific Rim;410855;-2013
2186;8.0;90;Her;410616;-2013
2810;8.2;77;Logan;409205;-2017
2655;8.0;81;Arrival;408863;(II) (2016)
1846;7.4;68;Crazy, Stupid, Love.;407956;-2011
503;8.4;74;Old Boy;405437;-2003
1847;6.5;44;The Hangover Part II;404816;-2011
1179;7.5;71;Harry Potter and the Order of the Phoenix;401180;-2007
1511;6.7;40;X-Men Origins: Wolverine;401007;-2009
2343;7.4;59;The Hobbit: The Battle of the Five Armies;400657;-2014
2187;7.3;55;Gatsby le magnifique;398114;-2013
2504;7.3;64;Ant-Man;396193;-2015
1007;7.9;84;Children of Men;395077;-2006
6;7.6;64;American Psycho;394806;-2000
1848;7.4;73;Mission: Impossible - Ghost Protocol;391126;-2011
672;7.7;30;The Butterfly Effect;390675;-2004
2021;8.0;67;The Perks of Being a Wallflower;390483;-2012
504;6.7;47;Matrix Revolutions;389791;-2003
2188;7.3;90;American Hustle;389146;-2013
1180;7.9;81;Hot Fuzz;388888;-2007
1008;7.8;80;Little Miss Sunshine;383696;-2006
833;6.5;55;Mr. & Mrs. Smith;382689;-2005
673;7.8;73;The Bourne Supremacy;382244;-2004
674;7.8;69;Crash;381168;(I) (2004)
1340;6.4;49;Hancock;378540;-2008
1849;6.9;57;Horrible Bosses;377292;-2011
2656;7.8;65;Rogue One;376748;-2016
2344;6.7;48;Divergent;373187;-2014
